Status,FY,PeriodOrder,Period,MFI,Size,Total_OS_Borrowings,Br_AIFIs,Br_Banks,Br_Non Bank Ent,Br_ECB,Br_Others,Br_SpecifyOthers,Br_Top5Banks,Br_SIDBI,Br_NABARD,Br_MUDRA,Br_NHB,Br_Others2,Br_SBI,Br_HDFC,Br_PNB,Br_ICICI,Br_BOB,Br_AXIS,Borrowings_Qur,TB_AIFIs,TB_Banks,TB_NBE,TB_ECB,TB_Others,TB_Top5Banks,TB_SIDBI,TB_NABARD,TB_MUDRA,TB_NHB,TB_Others3,TB_SBI,TB_HDFC,TB_PNB,TB_ICICI,TB_BOB,TB_AXIS
Active,FY 19-20,33,Q4 FY 19-20,Sarala,Small,Term loan,1274050185,625381810,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Sarala,Small,Subordinated Debt,0,100000000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Inactive,FY 19-20,33,Q4 FY 19-20,Adhikar,Small,Term loan,143392800,297951030,574680800,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Inactive,FY 19-20,33,Q4 FY 19-20,Adhikar,Small,Subordinated Debt,0,80000000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Inactive,FY 19-20,33,Q4 FY 19-20,Adhikar,Small,Any other (specify),0,0,25000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Adi Chitragupta,Small,Term loan,,211711510,,,,0,93750000,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Adi Chitragupta,Small,Debentures,,,,,275000000,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Adi Chitragupta,Small,Subordinated Debt,,,,,39500000,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Agora,Small,Term loan,304939837,0,391437500,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Annapurna,Large,Term loan,5246615000,18582816370,1941270864,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Annapurna,Large,Debentures,0,0,6261900000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Annapurna,Large,Subordinated Debt,0,250000000,2326000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Annapurna,Large,Any other (specify),0,0,3609055000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Arohan,Large,Term loan,7723233331,20837691611,9539405408,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Arohan,Large,Debentures,0,0,1350000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Arohan,Large,Subordinated Debt,0,749999999,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Arohan,Large,Any other (specify),0,595393247,1056661319,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Arth,Small,Term loan,345925360,478567254,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,ASA India,Medium,Term loan,240000000,1153072873,1917208393,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,ASA India,Medium,Debentures,0,0,3210000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,ASA India,Medium,Subordinated Debt,0,550000000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,ASA India,Medium,Any other (specify),0,0,992500000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Asirvad,Large,Term loan,8208470828,8436475428,2968627121,0,0,0,9051069031,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Asirvad,Large,Debentures,0,0,7883059426,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Asirvad,Large,Subordinated Debt,0,0,1150000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Asirvad,Large,Commercial Papers,0,0,250000000,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Asirvad,Large,Any other (specify),0,3570954166,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Belstar,Large,Term loan,1156551349,15096826974,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Belstar,Large,Debentures,369904036,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Belstar,Large,Subordinated Debt,0,1044091896,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Active,FY 19-20,33,Q4 FY 19-20,Belstar,Large,Any other (specify),0,1288295848,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
