FY ,Quarter,Month(As on),MFI_Name,AUM_RsCr,TotalAssets_RsCr,OnBS_OS_MFL-RsCr,MFL_P_TA,QualifyingAssets_P,Wavg_CoB,Avg_OperatingCost_P,Max_Interest Rate_MFL,Min_Interest Rate_MFL,Wavg_InterestRate_MFL, AverageTicketSize ,Off-BS_MFL_Port_RsCr,BusinessCorrespondent,Securitised_Portfolio,Assigned_Portfolio,SPV_Portfolio_PTC_RsCr,NPA_Portfolio_RsCr,GrossNPA_P_OnBS MFL,NetNPA_P_OnBS MFL,DPD_G30Days_Lakhs,DPD_G30Days_P_OnBS MFL,DPD_G60Days_Lakhs,DPD_G60Days_P_OnBS MFL,DPD_G90Days_Lakhs,DPD_G90Days_P_OnBS MFL,DPD_G180Days_Lakhs,DPD_G180Days_P_OnBS MFL,TotalEquity_P_TA,Promoter_P_TA,FDI_P_TA,Others_P_TA,AIFIs_P_TA,Top5_Banks_P,OtherBanks_P,SFBs_P,Banks_P_TA,NBE_TA,ECB_P_TA,Others_P_TA,TermLoan_P_TA,Debentures_P_TA,SuborditedDebt_P_TA,CommercialPapers_P_TA,AnyOther_P_TA,Income_OnBS MFL_Port_P_TA,Income_OffBS MFL_Port_P_TA,I_NonCredit_FP_TA,I_NonCredit_NFProducts_TA,Share_Income_Activities_Direct Lending,OperatingProfit_RsCr,NetProfit_RsCr,ROA_P,ROE_P,L20P_LRs50000,L20P_GRs50000to1Lak,L20P_GRs1LaktoLRs1p5Lak,L20P_GRs1p5LaktoLRs2lak,L20P_GRs2laktoLRs2p5Lak,L20P_GRs2p5LaktoLRs3Lak,G20ptoL30p_LRs50000,G20ptoL30p_LRs50000toLRs1Lak ,G20ptoL30p_GRs1LaktoLRs1p5Lak,G20ptoL30p_GRs1p5LaktoLRs2Lak,G20ptoL30p_GRs2LaktoLR2p5Lak,G20ptoL30p_GRs2p5LaktoLRs3Lak,G30ptoL40p_LRs50000,G30ptoL40p_GRs50000toLRs1Lak ,G30ptoL40p_GRs1LaktoLRs1p5Lak,G30ptoL40p_GRs1p5LaktoLRs2Lak,G30ptoL40p_GRs2LaktoLRs2p5Lak,G30ptoL40p_GRs2p5LaktoLRs3Lak,G40ptoL50p_LR50000,G40ptoL50p_GRs50000toLRs1Lak ,G40ptoL50p_GRs1LaktoLRs1p5Lak,G40ptoL50p_GRs1p5LaktoLRs2Lak,G40ptoL50p_GRs2LaktoLRs2p5Lak,G40ptoL50p_GRs2p5LaktoLRs3Lak
FY 18-19,Q1 FY 18-19,Jun-18,Adhikar Microfinance Private Limited,179.25,154.21,,,96.00%,14.65%,7.13%,,,24.60%,24189,,,,,,0.32,0.29%,,66.09,0.37%,56.74,0.32%,51.65,0.29%,33.17,0.19%,,,,,,,,0.00,25.35,72.77,1.88,0.00,,,,,,,,,,25%, 1.5 , 0.9 ,2.4%,21.4%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Adi Chitragupta Finance Limited,16.57,21.20,,,100.00%,15.77%,5.99%,,,24.64%,24998,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,0.00,0.00,0.00,100.00,,,,,,,,,,3%, -0.1 , -0.2 ,-1.5%,-2.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Agora Microfinance India Ltd,33.58,39.11,,,91.85%,9.94%,10.05%,,,23.26%,26697,,,,,,0.97,2.90%,,4.04,0.12%,2.32,0.07%,7.62,0.23%,89.70,2.67%,,,,,,,,0.00,3.31,96.69,0.00,0.00,,,,,,,,,,4%, 0.2 , 0.1 ,0.8%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Annapurna Finance Private Limited,2035.16,2175.00,,,89.62%,11.88%,6.84%,,,21.70%,28081,,,,,,37.63,2.13%,,4247.09,2.09%,3972.53,1.95%,3763.37,1.85%,3300.53,1.62%,,,,,,,,0.00,43.25,26.60,1.02,29.12,,,,,,,,,,5%, 29.2 , 14.5 ,2.9%,19.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Asirvad Microfinance Limited,2437.94,2562.28,,,93.72%,11.79%,27.75%,,,22.25%,18942,,,,,,42.06,1.73%,,4822.79,1.98%,4511.64,1.85%,4206.06,1.73%,3259.57,1.34%,,,,,,,,0.00,43.56,15.41,0.00,41.02,,,,,,,,,,6%, 48.3 , 28.7 ,4.6%,33.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Aviral Finance Pvt Ltd,18.73,20.85,,,93.82%,15.45%,7.63%,,,24.60%,25449,,,,,,0.00,0.02%,,0.85,0.05%,0.52,0.03%,0.30,0.02%,0.11,0.01%,,,,,,,,0.00,0.00,41.25,0.00,58.75,,,,,,,,,,0%, 0.1 , 0.0 ,0.1%,0.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Belstar Investment and Finance Pvt Ltd,1236.06,1351.91,,,87.48%,13.51%,8.42%,,,22.64%,29423,,,,,,8.15,0.89%,,1570.49,1.27%,1042.41,0.84%,815.28,0.66%,491.81,0.40%,,,,,,,,0.00,55.73,18.00,0.00,26.28,,,,,,,,,,4%, 39.6 , 14.5 ,4.3%,42.9%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Bharat Financial Inclusion Ltd (previously known as SKS),13832.19,12632.18,,,94.08%,10.00%,6.39%,,,19.75%,21875,,,,,,33.13,0.30%,,3917.57,0.28%,3313.12,0.24%,2851.71,0.21%,1923.71,0.14%,,,,,,,,0.00,69.18,12.94,0.00,17.88,,,,,,,,,,9%, -  .0 , 142.1 ,4.6%,17.6%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Centrum MicroCredit Ltd,132.68,166.08,,,97.65%,14.49%,12.37%,,,25.14%,28286,,,,,,0.20,0.15%,,31.59,0.24%,26.87,0.20%,20.48,0.15%,6.02,0.05%,,,,,,,,0.00,3.88,81.40,0.00,14.73,,,,,,,,,,1%, 8.1 , -0.1 ,0.0%,-0.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Chaitanya India Fin Credit Pvt Ltd,381.23,399.15,,,96.29%,15.00%,12.03%,,,24.11%,24824,,,,,,15.90,4.38%,,1633.00,4.28%,1606.63,4.21%,1590.40,4.17%,1541.96,4.04%,,,,,,,,0.00,32.79,33.01,0.00,34.20,,,,,,,,,,7%, 10.3 , 1.0 ,0.8%,4.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Fino Finance Pvt Ltd,588.63,556.53,,,92.06%,13.09%,10.70%,,,23.45%,30748,,,,,,0.00,3.50%,,6940.92,11.79%,6116.57,10.39%,5471.35,9.30%,3900.99,6.63%,,,,,,,,0.42,25.83,54.54,0.00,19.20,,,,,,,,,,17%, 3.6 , 1.0 ,0.2%,1.1%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Fusion Microfinance Pvt Ltd,1761.00,1951.74,,,91.68%,13.50%,7.62%,,,24.19%,23280,,,,,,50.07,3.06%,,5973.82,3.39%,5600.21,3.18%,5397.36,3.06%,4986.43,2.83%,,,,,,,,3.49,32.56,30.23,0.00,33.72,,,,,,,,,,9%, 73.9 , 16.0 ,3.3%,24.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Growing Opportunity Finance India Pvt Ltd,177.93,208.42,,,94.31%,15.37%,5.73%,,,24.60%,36577,,,,,,0.00,0.02%,,4.89,0.03%,4.51,0.03%,3.87,0.02%,1.93,0.01%,,,,,,,,0.37,15.30,84.33,0.00,0.00,,,,,,,,,,0%, 3.1 , 1.9 ,3.8%,24.4%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Hindusthan Microfinance Pvt Ltd,33.40,45.74,,,96.40%,16.61%,10.17%,,,24.72%,34530,,,,,,2.22,6.64%,,257.64,7.71%,234.24,7.01%,221.82,6.64%,197.69,5.92%,,,,,,,,0.00,59.49,40.51,0.00,0.00,,,,,,,,,,2%, 4.4 , 0.0 ,0.1%,0.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Inditrade Microfinance Ltd,77.79,76.99,,,91.19%,16.31%,7.28%,,,24.72%,26691,,,,,,0.01,0.39%,,14.53,0.19%,10.50,0.13%,5.59,0.07%,0.00,0.00%,,,,,,,,0.00,4.50,95.50,0.00,0.00,,,,,,,,,,0%, 0.9 , 0.7 ,0.9%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Jagaran Microfin Pvt Ltd,279.41,311.09,,,94.35%,15.74%,6.09%,,,24.25%,21388,,,,,,2.18,0.90%,,267.50,0.96%,252.24,0.90%,239.91,0.86%,208.12,0.74%,,,,,,,,3.14,30.77,66.09,0.00,0.00,,,,,,,,,,4%, 5.4 , 3.7 ,4.7%,18.9%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Janakalyan financial services Pvt ltd,85.70,86.65,,,96.02%,14.08%,17.57%,,,24.53%,22742,,,,,,0.11,0.16%,,6.73,0.08%,1.29,0.02%,1.17,0.01%,2.27,0.03%,,,,,,,,6.92,3.95,89.13,0.00,0.00,,,,,,,,,,6%, 0.3 , 0.3 ,0.4%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Light Microfinance Pvt Ltd,157.90,147.57,,,88.00%,14.81%,10.69%,,,24.72%,34042,,,,,,1.47,1.78%,,333.35,2.11%,281.64,1.78%,255.17,1.62%,202.82,1.28%,,,,,,,,,,,,,,,,,,,,,,6%, 0.1 , 0.0 ,1.6%,11.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Mpower,201.32,214.18,,,87.33%,15.52%,23.04%,,,24.53%,29576,,,,,,0.00,3.21%,,853.59,4.24%,809.23,4.02%,775.97,3.85%,726.47,3.61%,,,,,,,,7.08,13.82,78.03,0.00,1.06,,,,,,,,,,4%, 1.2 , 0.3 ,0.6%,4.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Margdarshak Financial Services Ltd,284.06,285.94,,,90.76%,15.70%,7.79%,,,24.65%,21016,,,,,,0.26,0.12%,,155.11,0.55%,140.81,0.50%,221.91,0.78%,443.40,1.56%,,,,,,,,0.00,38.32,45.02,0.00,16.66,,,,,,,,,,17%, 1.6 , 1.1 ,1.5%,25.8%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Midland Microfin Ltd,414.81,478.64,,,95.69%,14.80%,10.16%,,,24.64%,27192,,,,,,2.26,0.55%,,229.69,0.55%,228.45,0.55%,226.67,0.55%,225.45,0.54%,,,,,,,,0.00,26.32,55.52,0.00,18.17,,,,,,,,,,3%, 3.2 , 2.3 ,2.1%,16.7%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Madura Micro Finance Ltd,1392.91,1437.77,,,,11.68%,5.81%,,,21.61%,28713,,,,,,6.00,0.45%,,1688.34,1.21%,966.53,0.69%,599.68,0.43%,0.00,0.00%,,,,,,,,0.00,48.02,35.49,2.14,14.35,,,,,,,,,,1%, 29.8 , 15.0 ,4.5%,24.3%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,MSM Microfinance Pvt Ltd,41.92,0.16,,,,0.00%,0.00%,,,24.74%,24631,,,,,,2.30,3.09%,,186.42,4.45%,175.42,4.18%,159.86,3.81%,149.88,3.58%,,,,,,,,0.00,7.48,92.52,0.00,0.00,,,,,,,,,,5%, 0.1 , 0.0 ,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Namra Finance Ltd,309.84,0.00,,,,0.00%,0.00%,,,0.00%,25215,,,,,,0.00,0.00%,,415.23,1.34%,342.81,1.11%,215.25,0.69%,117.12,0.38%,,,,,,,,,,,,,,,,,,,,,,, -  .0 , -  .0 ,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,NEED Livelihood Microfinance Pvt Ltd,42.98,46.17,,,93.75%,14.81%,10.63%,,,24.53%,21706,,,,,,0.29,0.67%,,52.09,1.21%,39.28,0.91%,28.97,0.67%,8.87,0.21%,,,,,,,,0.00,17.22,82.78,0.00,0.00,,,,,,,,,,9%, 0.2 , 0.2 ,1.6%,5.4%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Nightingale Finvest Pvt Ltd,70.41,67.47,,,92.86%,7.96%,6.12%,,,22.84%,25717,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,35.22,64.78,0.00,0.00,,,,,,,,,,20%, 6.3 , 0.5 ,0.8%,8.8%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Pahal Financial Services Pvt Ltd,273.90,302.67,,,88.15%,15.68%,8.82%,,,24.80%,28699,,,,,,1.12,0.47%,,163.84,0.60%,138.05,0.50%,123.61,0.45%,79.60,0.29%,,,,,,,,1.36,7.78,61.31,0.00,29.55,,,,,,,,,,1%, 2.3 , 1.7 ,2.8%,4.9%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Saija Finance Pvt Ltd,416.58,446.35,,,91.69%,14.78%,8.09%,,,24.72%,21241,,,,,,12.57,3.29%,,1432.53,3.44%,1329.59,3.19%,1294.86,3.11%,1224.87,2.94%,,,,,,,,3.64,2.89,54.31,0.00,39.16,,,,,,,,,,7%, 4.1 , 2.8 ,2.6%,19.2%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Samasta Micro Finance Ltd,1110.74,1003.16,,,91.29%,14.00%,16.55%,,,23.02%,26187,,,,,,8.90,0.80%,,1040.08,0.94%,960.22,0.86%,889.69,0.80%,761.62,0.69%,,,,,,,,0.00,43.05,4.99,0.00,51.96,,,,,,,,,,0%, 16.3 , 5.4 ,2.5%,4.5%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Sambandh Finserv Pvt Ltd,233.15,244.26,,,99.66%,15.58%,6.51%,,,25.47%,26990,,,,,,0.83,0.47%,,135.87,0.58%,109.66,0.47%,83.31,0.36%,35.43,0.15%,,,,,,,,1.37,29.07,68.97,0.00,0.60,,,,,,,,,,4%, 8.8 , 0.8 ,0.3%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Satin Credit Care Network Ltd,5400.19,6966.51,,,90.28%,11.93%,6.15%,,,21.05%,28746,,,,,,219.83,3.93%,,27263.52,5.05%,24017.39,4.45%,21230.27,3.93%,13682.52,2.53%,,,,,,,,0.00,51.03,17.64,0.89,30.44,,,,,,,,,,2%, 85.8 , 25.1 ,1.7%,10.7%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Satya MicroCapital Ltd,255.57,279.48,,,89.53%,14.63%,9.96%,,,23.78%,30132,,,,,,0.05,2.00%,,5.99,0.02%,5.34,0.02%,4.52,0.02%,0.64,0.00%,,,,,,,,12.08,6.07,69.04,0.00,12.82,,,,,,,,,,0%, -0.6 , -0.9 ,-1.5%,-11.8%,,,,,,,,,,,,,,,,,,,,,,,,
FY 18-19,Q1 FY 18-19,Jun-18,Shikhar Micrfinance Pvt Ltd,67.74,77.74,,,87.30%,14.76%,10.43%,,,24.63%,42814,,,,,,0.00,0.00%,,209.69,3.10%,117.76,1.74%,97.37,1.44%,66.67,0.98%,,,,,,,,94.39,0.00,0.00,0.00,5.61,,,,,,,,,,0%, 0.3 , 0.2 ,0.8%,4.1%,,,,,,,,,,,,,,,,,,,,,,,,
